beer_style,votes,review_overall,year,local_review
9,155,4.57,2025,No
24,144,4.69,2025,No
30,138,4.74,2025,No
9,136,4.59,2025,No
7,132,4.56,2025,No
24,131,4.54,2025,No
9,126,4.48,2025,No
43,124,4.67,2025,No
9,108,4.76,2025,No
9,107,4.6,2025,No
9,103,4.57,2025,No
9,96,4.58,2025,No
64,92,4.61,2025,No
30,91,4.85,2025,No
9,89,4.86,2025,No
9,84,4.64,2025,No
9,81,4.47,2025,No
7,74,4.62,2025,No
30,71,4.79,2025,No
46,51,4.55,2025,No
43,51,4.48,2025,No
64,21,4.54,2025,No
64,17,4.7,2025,No
